entry_price,entry_time,direction,trend_direction,trend_strength,trend_bos_aligned,ob_near,ob_distance,ob_type,ob_size,ob_age,fvg_near,fvg_count,fvg_nearest_distance,fvg_size,fvg_type,ema_aligned,ema_trend,rsi_value,rsi_state,liquidity_near,liquidity_count,mtf_aligned,volatility,atr_value,price_position,distance_to_high,distance_to_low,volume_spike,volume_ratio,confluence_score,confluence_count,session,days_since_loss,streak_type,potential_rr,outcome,pnl,pnl_percent,exit_reason,holding_periods
0.30247,1544227200000,"short","down",1,1,1,0.0022481568420009055,"bear",0.08172335926018849,93,1,3,0.014976691903329184,0.06902280130293155,"bear",1,"down",25.847249508840875,"oversold",1,23,1,0.10615692701519397,0.03210928571428572,0.05657503188323665,0.8804509538136011,0.0527986246569909,0,0.6449027489560044,1,6,"asian",0,"none",2,"LOSS",-212.313854030388,-21.2313854030388,"SL",11
0.30914,1544313600000,"short","down",1,1,1,0.0237756356343405,"bear",0.08172335926018849,94,1,5,0.0007763472860191578,0.009632167560928433,"bear",1,"down",25.45824847250509,"oversold",1,23,1,0.09300224586179172,0.028750714285714293,0.08020405271361787,0.8398783722585234,0.0732354273144855,0,0.47876738371861866,1,6,"asian",0,"none",2,"LOSS",-186.0044917235834,-18.600449172358342,"SL",10
0.29956,1544400000000,"short","down",1,1,1,0.007444251568967852,"bear",0.08172335926018849,95,1,3,0.07424222192549067,0.060183181883744344,"bear",1,"down",31.89563365282217,"neutral",1,23,1,0.08781927779791315,0.026307142857142862,0.04626611874734313,0.8987181199092,0.0435972760048071,0,0.4941633140090384,1,6,"asian",0,"none",2,"LOSS",-175.63855559582632,-17.56385555958263,"SL",9
0.29904,1544486400000,"short","down",1,1,1,0.009196094168004381,"bear",0.08172335926018849,96,1,3,0.07263242375601914,0.060183181883744344,"bear",1,"down",29.33821672139429,"oversold",1,23,1,0.08471871894825349,0.02533428571428572,0.044423976193850065,0.902019796682718,0.041934189406099505,0,0.46323494714121094,1,6,"asian",0,"none",2,"LOSS",-169.437437896507,-16.9437437896507,"SL",7
0.30463,1544572800000,"short","down",1,1,1,0.009322785017890585,"bear",0.08172335926018849,97,1,4,0.015592686209499971,0.009632167560928433,"bear",1,"down",14.7364429275692,"oversold",1,24,1,0.0773279997749026,0.02355642857142858,0.0642270086438998,0.8671174867872499,0.05951482125857609,0,0.4358141670463275,1,6,"asian",0,"none",2,"LOSS",-154.65599954980527,-15.465599954980528,"SL",7
0.29934,1544659200000,"short","down",1,1,1,0.008184672947150423,"bear",0.08172335926018849,98,1,3,0.07356183603928637,0.060183181883744344,"bear",1,"down",19.71631205673762,"oversold",1,24,1,0.07531330832593612,0.022544285714285718,0.045486750743942254,0.9001135832164093,0.04289436760873929,0,0.41088678008935003,1,6,"asian",0,"none",2,"LOSS",-150.62661665187218,-15.06266166518722,"SL",5
0.28816,1544745600000,"short","down",1,1,1,0.0473001110494169,"bear",0.08172335926018849,99,1,2,0.03761799000555252,0.060183181883744344,"bear",1,"down",21.68862690707354,"oversold",1,24,1,0.07560036091060524,0.021785000000000006,0.01764335223692517,0.9738339811215988,0.017490283176013477,0,0.48057050985473404,1,6,"asian",0,"none",2,"LOSS",-151.2007218212104,-15.120072182121042,"SL",3
0.28422,1544832000000,"short","down",1,1,1,0.06181830976004515,"bear",0.08172335926018849,100,1,2,0.024276968545492796,0.060183181883744344,"bear",1,"down",14.796475031472951,"oversold",1,24,1,0.07367280878997158,0.02093928571428572,0.012904120993478378,1.0011962564210823,0.013088452607135127,0,0.4513940017750947,1,6,"asian",0,"none",2,"LOSS",-147.34561757994314,-14.734561757994314,"SL",2
0.28669,1544918400000,"short","down",1,1,1,0.05267013150092435,"bear",0.08172335926018849,100,1,3,0.03268338623600401,0.060183181883744344,"bear",1,"down",14.610093643822012,"oversold",1,24,1,0.07263445334183764,0.020823571428571434,0.021472179825169888,0.9839547943772017,0.02159126582720002,0,0.5973005839911611,1,6,"asian",0,"none",2,"LOSS",-145.26890668367534,-14.526890668367534,"SL",1
0.32721,1545004800000,"short","down",0.9293114513615073,1,1,0.060450475229974696,"bear",0.034864300626304905,100,1,4,0.02179028758289791,0.0247438140464885,"bear",1,"down",19.748477107486764,"oversold",1,24,1,0.06943116478277388,0.02271857142857144,0.16202997086166224,0.7382720576999479,0.1427523608691665,0,1.7815475298491854,1,6,"asian",0,"none",2,"LOSS",-138.8623295655478,-13.886232956554782,"SL",2
0.34979,1545091200000,"short","down",0.7280368220932556,1,1,0.00800480288172895,"bear",0.034864300626304905,100,1,1,1,0,"mixed",1,"down",40.922898886156524,"neutral",1,24,1,0.06594773190444882,0.02306785714285715,0.24035659775218532,0.6260613510963721,0.19809028274107313,1,2.2807123027062097,1,6,"asian",0,"none",2,"LOSS",-131.89546380889757,-13.189546380889757,"SL",6
0.34468,1545177600000,"short","down",0.5619415109666961,1,1,0.006701868399675161,"bear",0.034864300626304905,100,1,3,0.09481257978414757,0.08333333333333341,"bear",1,"down",53.47564682834558,"neutral",1,24,1,0.07272791326116153,0.025067857142857152,0.2226307756347994,0.6501682720204247,0.18620169432517106,1,3.0021133405652454,1,6,"asian",0,"none",2,"LOSS",-145.45582652232298,-14.545582652232298,"SL",5
0.37228,1545264000000,"short","down",0.2933813258837401,1,0,1,"none",0,0,1,4,0.01705705383045026,0.059794522356918345,"bear",1,"down",64.44679638524786,"neutral",1,25,1,0.06846613148321543,0.02548857142857144,0.3183710281670598,0.5278285161706241,0.24653486622971948,1,2.244372842161819,0.8333333333333334,5,"asian",0,"none",2,"LOSS",-136.93226296643087,-13.693226296643088,"SL",4
0.35428,1545350400000,"short","down",0.25177825448797675,1,1,0.020576944789431985,"bear",0.034864300626304905,100,1,2,0.01047194309585636,0.04435878097153553,"bear",1,"down",74.98244135412273,"overbought",1,25,1,0.07429555315408316,0.026321428571428582,0.25593173303732475,0.6054533137631252,0.20825335892514385,0,1.5845235460011857,1,6,"asian",0,"none",2,"LOSS",-148.5911063081663,-14.85911063081663,"SL",3
0.35644,1545436800000,"short","down",0.16875210414094918,1,1,0.026512175962293678,"bear",0.034864300626304905,100,1,3,0.004348557962069341,0.04435878097153553,"bear",1,"down",66.2873310279786,"neutral",1,25,0,0.07030636292223097,0.025060000000000006,0.2634244484528929,0.5957243855908427,0.21305128492873965,0,0.7576568811214406,0.8333333333333334,5,"asian",0,"none",2,"LOSS",-140.61272584446192,-14.061272584446192,"SL",2
0.3669,1545523200000,"short","down",0.012837285363862368,1,0,1,"none",0,0,1,3,0.02428454619787416,0.04435878097153553,"bear",1,"down",65.30348129933995,"neutral",1,25,0,0.06877311840517075,0.02523285714285715,0.2997086166227279,0.5502316707549739,0.23548650858544556,0,0.9088310809915803,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-137.54623681034144,-13.754623681034145,"SL",1
0.40092,1545609600000,"short","down",0.09049186870198456,1,0,1,"none",0,0,1,3,0.0555971266087997,0.059794522356918345,"bear",1,"down",71.66387852271262,"overbought",1,25,0,0.07430766380182725,0.029791428571428583,0.41771888441792704,0.41868701985433493,0.30035917390002986,1,2.9646792725545565,0.6666666666666666,4,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.37598,1545696000000,"short","down",0.2407840842598005,1,0,1,"none",0,0,1,3,0.0070482472471941095,0.059794522356918345,"bear",1,"down",76.96379419860257,"overbought",1,25,0,0.08454667041559966,0.03178785714285716,0.3312057721659497,0.5127932336826426,0.25394967817437086,0,1.7182412253417374,0.6666666666666666,4,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.37253,1545782400000,"short","down",0.4484471049311494,1,1,0.07620862749308788,"bear",0.09269303098852576,2,1,5,0.01637452017287212,0.059794522356918345,"bear",1,"down",67.1292072790128,"neutral",1,25,0,0.08966487837988124,0.03340285714285716,0.3346545454545453,0.4911550747590799,0.24704050680482095,0,1.0311183028534407,0.8333333333333334,5,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.33368,1545868800000,"short","down",0.5423459602013948,1,1,0.03988851594341898,"bear",0.034864300626304905,100,1,6,0.04075761208343324,0.0247438140464885,"bear",1,"down",67.72755897883059,"neutral",1,25,0,0.10864343939445836,0.036252142857142865,0.1996995869320314,0.6386957564133301,0.1593742507791895,0,1.0126006176251194,0.8333333333333334,5,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.36997,1545955200000,"short","down",0.5402059626456185,1,1,0.08365543152147464,"bear",0.09269303098852576,4,1,4,0.03238100386517838,0.04435878097153553,"bear",1,"down",59.72234087996581,"neutral",1,25,1,0.10371690368717155,0.03837214285714286,0.3515658768517428,0.4460361650944669,0.24183041868259586,0,1.1707139606345778,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.35593,1546041600000,"short","down",0.5904812744078909,1,1,0.025117298345180242,"bear",0.034864300626304905,100,1,4,0.005787654875958617,0.04435878097153553,"bear",1,"down",66.09119909926815,"neutral",1,26,1,0.11124177707494655,0.03959428571428573,0.29639671499862474,0.503076447616104,0.21192369286095578,0,0.9095867110820276,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.36489,1546128000000,"short","down",0.5814355011099239,1,1,0.09874208665625259,"bear",0.09269303098852576,6,1,4,0.01890980843541894,0.04435878097153553,"bear",1,"down",62.45234155816129,"neutral",1,26,1,0.10903873182916184,0.03978714285714286,0.33160438524107033,0.4661678862122831,0.23127517882101445,0,0.5711452273150326,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.34849,1546214400000,"short","down",0.6573215874200123,1,1,0.004304284197537953,"bear",0.034864300626304905,100,1,1,1,0,"mixed",1,"down",57.644242473423674,"neutral",1,26,1,0.10880410587719262,0.03791714285714286,0.2671617745294511,0.5351660018938849,0.19509885506040342,0,0.6001265095805546,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.3608,1546300800000,"short","down",0.6034922394678512,1,1,0.03827605321507757,"bear",0.034864300626304905,100,1,4,0.007788248337028921,0.04435878097153553,"bear",1,"down",49.72948227068421,"neutral",1,27,1,0.10261126069052895,0.037022142857142844,0.31596757692610367,0.4818181818181818,0.22256097560975605,0,0.35155150818046105,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.36882,1546387200000,"short","down",0.6518898107477882,1,1,0.0870343256873272,"bear",0.09269303098852576,9,1,4,0.029363917358060862,0.04435878097153553,"bear",1,"down",53.25682883465331,"neutral",1,27,1,0.09456994120244486,0.03487928571428571,0.35117296222663996,0.44243804565912925,0.2394664063770944,0,0.6265858960685176,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.3524,1546473600000,"short","down",0.6791713961407464,1,1,0.01535187287173658,"bear",0.034864300626304905,100,1,2,0.015862656072644678,0.04435878097153553,"bear",1,"down",49.24089512944273,"neutral",1,27,1,0.0942415274850008,0.03321071428571428,0.2858846918489064,0.5096481271282635,0.2040295119182746,0,0.51622556582328,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.35308,1546560000000,"short","down",0.7328367508779843,1,1,0.017248215701823905,"bear",0.034864300626304905,100,1,3,0.013906196895887532,0.04435878097153553,"bear",1,"down",49.58465889006715,"neutral",1,27,1,0.08940507210021201,0.031567142857142856,0.28858846918489056,0.506740681998414,0.20556247875835498,0,0.4340757462962939,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.34851,1546646400000,"short","down",0.7586582881409404,1,1,0.004361424349372947,"bear",0.034864300626304905,100,1,1,1,0,"mixed",1,"down",49.25280199252803,"neutral",1,27,1,0.09029870018076958,0.031470000000000005,0.27041749502982093,0.5264985222805659,0.1951450460531978,0,0.44473136880496084,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.36042,1546732800000,"short","down",0.6329559957826972,1,1,0.03726208312524276,"bear",0.034864300626304905,100,1,4,0.00674213417679386,0.04435878097153553,"bear",1,"down",45.80041105275177,"neutral",1,27,1,0.0863774009687111,0.031132142857142858,0.31777335984095423,0.476055712779535,0.22174130181454965,0,0.5390357569820273,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.36022,1546819200000,"short","down",0.48392648936760885,1,1,0.03672755538282151,"bear",0.034864300626304905,100,1,4,0.006190661262561795,0.04435878097153553,"bear",1,"down",39.71245681771998,"neutral",1,27,1,0.07290584325451906,0.026262142857142855,0.3371537322901246,0.43509521958802966,0.22130919993337395,0,0.6307286768042187,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.36073,1546905600000,"short","down",0.33684473151665056,1,1,0.038089429767416,"bear",0.034864300626304905,100,1,4,0.007595708701799185,0.04435878097153553,"bear",1,"down",45.42126670540384,"neutral",1,27,1,0.06675748779261101,0.02408142857142857,0.35165461319307456,0.41005738363873273,0.22241011282676787,0,0.654591976452052,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.3648,1546992000000,"short","down",0.14311951754386354,1,1,0.0990131578947368,"bear",0.09269303098852576,16,1,4,0.01866776315789484,0.04435878097153553,"bear",1,"down",46.51217781981557,"neutral",1,27,1,0.061174420426065156,0.02231642857142857,0.4461025559612637,0.28692434210526313,0.23108552631578944,0,0.6909495207606149,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.32464,1547078400000,"short","down",0.03277476589452791,1,1,0.06884549038935447,"bear",0.034864300626304905,100,1,5,0.014046328240512595,0.0247438140464885,"bear",1,"down",61.57910403333831,"neutral",1,27,1,0.07196102935999436,0.02336142857142857,0.2488863828587537,0.4103314440611139,0.13596599310004917,0,1.8345223672854751,1,6,"asian",0,"none",2,"LOSS",-143.92205871998868,-14.392205871998867,"SL",85
0.3258,1547164800000,"short","down",0.15871700429711252,1,1,0.0650399017802334,"bear",0.034864300626304905,100,1,5,0.017556783302639666,0.0247438140464885,"bear",1,"down",33.60578661844484,"neutral",1,27,1,0.06539726387792688,0.021306428571428577,0.26725663716814135,0.3812154696132598,0.13904235727440134,0,0.7513100319287469,1,6,"asian",0,"none",2,"LOSS",-130.7945277558538,-13.079452775585382,"SL",82
0.32557,1547251200000,"short","down",0.3350738704426101,1,1,0.06579230273059555,"bear",0.034864300626304905,100,1,5,0.01686273305279986,0.0247438140464885,"bear",1,"down",37.98356863683496,"neutral",1,27,1,0.0612661749283674,0.019946428571428577,0.2658997050147493,0.3821912338360413,0.1384341309088675,0,0.3965231676347699,1,6,"asian",0,"none",2,"LOSS",-122.53234985673487,-12.253234985673487,"SL",81
0.31132,1547337600000,"short","down",0.6141911859180282,1,1,0.0306115893614287,"bear",0.08172335926018849,100,1,6,0.006231530258255163,0.009632167560928433,"bear",1,"down",33.14471879286697,"neutral",1,27,1,0.06558249665020834,0.02041714285714286,0.18182890855457204,0.44545804959527185,0.09899781575228048,0,0.6618936500988076,1,6,"asian",0,"none",2,"LOSS",-131.16499330041665,-13.116499330041664,"SL",79
0.32871,1547424000000,"short","down",0.6353320556113261,1,1,0.05561132913510395,"bear",0.034864300626304905,100,1,5,0.026254144991025605,0.0247438140464885,"bear",1,"down",33.76714123504236,"neutral",1,27,1,0.06188694333259454,0.020342857142857152,0.2844247787610618,0.36898786164096015,0.14666423291046812,0,0.8287804428948138,1,6,"asian",0,"none",2,"LOSS",-123.77388666518914,-12.377388666518915,"SL",79
