entry_price,entry_time,direction,trend_direction,trend_strength,trend_bos_aligned,ob_near,ob_distance,ob_type,ob_size,ob_age,fvg_near,fvg_count,fvg_nearest_distance,fvg_size,fvg_type,ema_aligned,ema_trend,rsi_value,rsi_state,liquidity_near,liquidity_count,mtf_aligned,volatility,atr_value,price_position,distance_to_high,distance_to_low,volume_spike,volume_ratio,confluence_score,confluence_count,session,days_since_loss,streak_type,potential_rr,outcome,pnl,pnl_percent,exit_reason,holding_periods
8189.99,1521331200000,"long","up",0.8820254969786296,0,1,0.0024407844209821724,"bull",0.10729114764989205,4,1,1,0.042245472827195124,0.03518612952575217,"bull",1,"up",16.046645148705792,"oversold",1,21,0,0.11550842640135792,946.0128571428573,0.35073406587774797,0.494995720385495,0.2673971518890743,0,1.592802459901615,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-231.01685280271582,-23.10168528027158,"SL",87
8600,1521417600000,"long","up",0.8491581395348856,0,1,0.05,"bull",0.10729114764989205,5,1,3,0.02686046511627907,0.028165850161309517,"bull",1,"up",21.55997915798976,"oversold",1,21,0,0.11267458471760798,969.0014285714286,0.4351440415999303,0.39244418604651166,0.30232441860465115,0,1.4333936165276557,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-225.349169435216,-22.534916943521598,"SL",11
8909.98,1521504000000,"long","up",0.8176258532566859,0,1,0.08305069147181021,"bull",0.10729114764989205,6,1,3,0.019663343800996064,0.04319055545760742,"bull",1,"up",30.442440259476243,"neutral",1,21,0,0.10771629117012609,959.75,0.5029329415831316,0.32278748100444676,0.32659669269740216,0,1.1421595285620687,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-215.43258234025217,-21.543258234025217,"SL",9
8885,1521590400000,"long","up",0.8502903770399469,0,1,0.08047270680922904,"bull",0.10729114764989205,7,1,4,0.016907146876758507,0.04319055545760742,"bull",1,"up",39.82561452059254,"neutral",1,21,0,0.09931039472626418,882.3728571428572,0.4986156239198064,0.32650647158131685,0.3247034327518289,0,0.9986875085910767,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-198.62078945252838,-19.86207894525284,"SL",8
8722.9,1521676800000,"long","up",0.8869664905020108,0,1,0.06338488346765407,"bull",0.10729114764989205,8,1,4,0.04057136961331663,0.028165850161309517,"bull",1,"up",45.505252242491316,"neutral",1,21,0,0.09784688250794707,853.5085714285715,0.4705997234704458,0.35115729860482187,0.31215421476802435,0,0.9940596764304551,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-195.69376501589414,-19.569376501589414,"SL",7
8898.03,1521763200000,"long","up",0.9366488986888117,0,1,0.08181923414508611,"bull",0.10729114764989205,9,1,4,0.018346757653098494,0.04319055545760742,"bull",1,"up",44.29554960076768,"neutral",1,22,0,0.09238096201390322,822.0085714285714,0.5008676114759766,0.3245639765206455,0.3256923161643645,0,0.9568263013732408,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-184.7619240278065,-18.476192402780647,"SL",6
8546.86,1521849600000,"long","up",1,0,1,0.04409338634305471,"bull",0.10729114764989205,10,1,3,0.02080998167748162,0.028165850161309517,"bull",1,"up",51.54478187404367,"neutral",1,22,0,0.09355265308796781,799.5814285714287,0.4401745592810232,0.3789871367964375,0.2979866290076122,0,0.8305218120097745,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-187.10530617593562,-18.710530617593562,"SL",5
8470.15,1521936000000,"long","up",1,0,1,0.03543620833161156,"bull",0.10729114764989205,11,1,2,0.011941937273838084,0.028165850161309517,"bull",1,"up",36.75432590981705,"neutral",1,22,0,0.08608567397608913,729.1585714285713,0.4269166954718285,0.3914759478875818,0.2916288377419526,0,0.668291509924039,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-172.17134795217822,-17.217134795217824,"SL",4
8134.23,1522022400000,"long","up",1,0,1,0.004397466017066205,"bull",0.10729114764989205,12,1,1,0.03568008281054256,0.03518612952575217,"bull",1,"up",40.274128968294825,"neutral",1,23,0,0.0859088251570392,698.8021428571429,0.3688593155893535,0.4489398504836968,0.26237517257318754,0,0.9979786004947929,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-171.81765031407835,-17.181765031407835,"SL",4
7795.51,1522108800000,"long","up",1,1,1,0.04803919179117207,"bull",0.10729114764989205,13,1,3,0.003140269206248156,0.017136850558632455,"bull",1,"up",36.33391543944526,"neutral",1,23,0,0.08812921064268314,687.0121428571429,0.3103180089872105,0.5118972331508779,0.23032489214945526,0,0.8611622524385926,0.8333333333333334,5,"asian",0,"none",2,"LOSS",-176.2584212853663,-17.62584212853663,"SL",78
7949.3,1522195200000,"long","up",1,1,1,0.02776345086988789,"bull",0.10729114764989205,14,1,3,0.016266841105506195,0.017136850558632455,"bull",1,"up",43.910949527008796,"neutral",1,23,0,0.0769669746302909,611.8335714285714,0.17240940465918894,0.48264752871322003,0.10054847596643729,0,0.6179164580669927,0.8333333333333334,5,"asian",0,"none",2,"LOSS",-153.93394926058176,-15.393394926058177,"SL",2
7090.14,1522281600000,"long","up",1,0,1,0.018338142829337704,"bull",0.05241317340812248,100,1,3,0.05714414666000964,0.05849232159258524,"bull",1,"up",45.38177027917111,"neutral",1,23,0,0.08885135856676617,629.9685714285715,0.030760180808685554,0.6623099120750788,0.02101933107103677,0,1.2927473924104522,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-177.7027171335323,-17.77027171335323,"SL",87
6840.23,1522368000000,"long","up",1,0,1,0.01752718841325516,"bull",0.05241317340812248,100,1,3,0.0095844730367253,0.02189479339953089,"bull",1,"up",35.369654282326934,"neutral",1,23,0,0.09189592831151668,628.5892857142857,0.04630431303281376,0.7230429386146374,0.035105544696596346,0,1.4958511247852901,0.6666666666666666,4,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
6923.91,1522454400000,"short","down",1,1,0,1,"none",0,0,1,3,0.01818770030228589,0.031924189244452096,"bear",0,"up",37.08852094409052,"neutral",1,23,1,0.08892560087332983,615.7128571428572,0.06244034316060238,0.702218833000429,0.04676692793522728,0,0.8517578070965076,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-177.85120174665963,-17.785120174665963,"SL",13
6813.01,1522540800000,"short","down",1,1,0,1,"none",0,0,1,4,0.002206073380194753,0.031924189244452096,"bear",0,"up",32.07325430582853,"neutral",1,23,1,0.08643714640917052,588.8971428571429,0.0715103220494361,0.7299270072992701,0.056217442804281835,0,1.0160028558257552,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-172.8742928183411,-17.28742928183411,"SL",11
7056,1522627200000,"short","down",1,1,0,1,"none",0,0,1,4,0.020194160997732396,0.011187068399067118,"bear",0,"up",22.35601689278036,"oversold",1,23,1,0.08086056446388079,570.5521428571428,0.11687804914479248,0.6703528911564626,0.08871882086167801,0,0.7475136459419437,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-161.72112892776158,-16.17211289277616,"SL",11
7405.21,1522713600000,"short","down",1,1,0,1,"none",0,0,1,3,0.0279154811274765,0.011187068399067118,"bear",0,"up",20.7126969884619,"oversold",1,23,1,0.07452976639805911,551.9085714285713,0.18207770336500492,0.5915834932432706,0.13169241655537114,0,0.8916766898637615,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-149.0595327961183,-14.90595327961183,"SL",17
6796.1,1522800000000,"short","down",0.9743823663571763,1,0,1,"none",0,0,1,4,0.0002766292432423301,0.031924189244452096,"bear",0,"up",28.79586403354169,"oversold",1,23,1,0.08430076493451076,572.9164285714286,0.06835312107333637,0.7342313974191079,0.05386913082503206,0,1.0084188420625415,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-168.60152986902156,-16.860152986902154,"SL",8
6770.76,1522886400000,"short","down",0.8555775127164498,1,0,1,"none",0,0,1,5,0.004020228157547948,0.031924189244452096,"bear",0,"up",25.525861192968208,"oversold",1,23,1,0.08145572178856478,551.5171428571429,0.06362198726290656,0.7407218687414706,0.05032817586208937,0,0.931822667516978,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-162.91144357712957,-16.29114435771296,"SL",7
